12548596325ADRIANE GIMENEZ               SPSÃO ROQUE                     1549658701122010
12323155462ALBERTO ADERSOM               PERECIFE                        5210458702112011
14654654135ANDERSON DE SOUZA             RJNILOPOLIS                     1549558403102010
56521131313BRIANNA CRYSTAL               AMMANAUS                        1551255404092009
54654561122DARIO PAULO                   SPSÃO PAULO                     4578522605082012
54545212451EDIVAN SILVA                  RSPORTO ALEGRE                  1245874806072010
45443123131ELLEN CRISTINA                SCFLORIANOPOLIS                 1545487807062010
45897975555ERICK GERMANI                 PABELEM                         7412589608052011
54654645515FABIO DA SILVEIRA             SPLINDOIA                       8523698709042010
44878787888GABRIEL BRAS                  PRPARANAPOEMA                   8754215410032009
12548866665GABRIELA AGUIAR               GOGOIANIA                       1245458711022012
15151515551GUILHERME TADEU               DFCEILANDIA                     9632587412012010
54545445566HELOISA CAROLINA              SPSÃO PAULO                     8521478113122010
45545454555ISAQUE DO CARMO               SEARACAJU                       9874563214112011
45546665655JOAO VICTOR                   ESVITORIA                       4578754215102010
45445787878JONNATHAN LACERDA             RJRIO DE JANEIRO                1254786316092009
36363652555KARINA MARTINS                MGBELO HORIZONTE                1144552217082012
96325874155KARINNA SILVA                 BASALVADOR                      0125425018072010
45454522221KEMYLLY CAVALCANTE            AMMANAUS                        0122554419062010
15545454547LARISSA APARECIDA             SEARACAJU                       0003698520052011
65656566333LARISSA BASTOS                GOGOIANIA                       1236547821042010
15545878778LUANA DOS SANTOS              ESVITORIA                       1254144522032009
54545454554LUCIANO JUNIOR                RJRIO DE JANEIRO                2255555523022012
99999666666MATHEUS DE ALBUQUER           SPSÃO PAULO                     2222255524012010
36521478555NATHALIA CAMPOS               MGCARATINGA                     1254748925122010
15245545455OSMAR SILVA                   RJNILOPOLIS                     1254477726112011
96325874111RAIMUNDO NONATO               MGBELO HORIZONTE                0000011227102010
02115545454REBECCA DA SILVA              BASALVADOR                      0122444428092009
44545445458RONALDO SOUZA                 AMMANAUS                        0012365929082012
78878787878STEPHANIE PIMENTEL            SEARACAJU                       2365985730072010
98989898999TATIANA RIBEIRO               GOGOIANIA                       0125448731062010
36966333333WESLEY SILVA                  ESVITORIA                       4154454301052011
12554545511TANIA DE MORAES FLORIDO       PERECIFE                        4642134502042010
22333236662MIGUEL LEME FERREIRA          SPSÃO PAULO                     1511231403032009
12121212154MARIA APARECIDA FERREIRA      RJNILOPOLIS                     1564553104022012
11212121215JULIA MARIA MIRANDA           MGCARATINGA                     1455421305012010
11111122222ROSEMEIRE KWIEK GRISOLIA      BASALVADOR                      1345421206122010
36365222522LEANDRA NICOLAU MONTEIRO      AMMANAUS                        4564132107112011
12541289666GEISIELY DIONISIO ALVES       SEARACAJU                       4565321108102010
36985222211RAQUEL GOMES CARDOSO          GOGOIANIA                       8789754609092009
11223333333LUCIANA APARECIDA GOMES       ESVITORIA                       7895465410082012
12121212122CLAUDIO DE SOUSA MATTOS       RJRIO DE JANEIRO                9878945611072010
12112121222CAROLINA DUARTE DE OLIVEIRA   MGOURO PRETO                    4585456712062010
11111122222SUSANA ROQUE                  BASALVADOR                      4566546513052011
21212121213LEONARDO DUARTE               AMMANAUS                        0520984514042010
12112112212THIAGO NETO DE BARROSO        SEARACAJU                       0660465515032009
12121212155FERNANDO SANTOS AUN           GOGOIANIA                       5464146816022012
55555554444MARIA HELENA DE NORONHA       ESVITORIA                       5466221217012010
12212133699ROSANY RAFAELLA DA SILVA      PEPETROLINA                     5464535118122007
77997777977WILSON PIRES DA SILVA         SPGUARULHOS                     4564564419112009
